class,l_a,l_wm_a,l_wm_av,l_m_a,l_m_av,r_a,r_wm_a,r_wm_av,r_m_a,r_m_av
HAPPY,0.6869839727878572,0.6534673511981965,0.6533912344850862,0.1430673505645245,0.13770519573259174,0.10819737613201158,0.09894115030765552,0.09886889370173342,-0.40125133240362637,-0.4029600287805437
HAPPY,0.6986005008220674,0.6744161307811738,0.6743954447433468,0.1430673505645245,0.13770519573259174,0.13545517623424547,0.11925914883613604,0.11924509031023942,-0.40125133240362637,-0.4029600287805437
HAPPY,0.7264636456966402,0.6893006801605226,0.6892965281964025,0.1430673505645245,0.13770519573259174,0.22568158060312293,0.14496535211801548,0.14491878852983603,-0.40125133240362637,-0.4029600287805437
HAPPY,0.6343150734901429,0.6809127926826479,0.6809059889317892,0.1430673505645245,0.13770519573259174,0.05910351499915134,0.12523278966546075,0.12524697295765955,-0.40125133240362637,-0.4029600287805437
HAPPY,-1.2452286779880528,-1.2452286779880528,-1.2452286779880528,-0.363240467334116,-0.3609428502338041,-1.6877839267253885,-1.6877839267253885,-1.6877839267253885,-1.004460861856068,-1.0042727823750512
HAPPY,-1.2989125847816472,-1.27207063138485,-1.2720704621819559,-0.363240467334116,-0.3609428502338041,-1.682837426662446,-1.6853106766939172,-1.6853107942129995,-1.004460861856068,-1.0042727823750512
HAPPY,-1.3036821782588963,-1.2826078136761987,-1.2826058108410503,-0.363240467334116,-0.3609428502338041,-1.7041756212711343,-1.6915989915529897,-1.691596210251792,-1.004460861856068,-1.0042727823750512
HAPPY,-1.3275503814220433,-1.29384345561266,-1.2938379513191662,-0.363240467334116,-0.3609428502338041,-1.7112544178962716,-1.69651284813881,-1.6965070195470886,-1.004460861856068,-1.0042727823750512
HAPPY,-1.3771173059940343,-1.3104982256889346,-1.310482835968597,-0.363240467334116,-0.3609428502338041,-1.695969671010972,-1.6964042127132424,-1.6963996416614906,-1.004460861856068,-1.0042727823750512
HAPPY,-1.4191568493843083,-1.3452838599681858,-1.3452629117161679,-0.363240467334116,-0.3609428502338041,-1.702022075653077,-1.69925184249878,-1.6992480922024962,-1.004460861856068,-1.0042727823750512
